,police_force_id,police_force_name
0,avon-and-somerset,Avon and Somerset Constabulary
1,bedfordshire,Bedfordshire Police
2,cambridgeshire,Cambridgeshire Constabulary
3,cheshire,Cheshire Constabulary
4,city-of-london,City of London Police
5,cleveland,Cleveland Police
6,cumbria,Cumbria Constabulary
7,derbyshire,Derbyshire Constabulary
8,devon-and-cornwall,Devon & Cornwall Police
9,dorset,Dorset Police
10,durham,Durham Constabulary
11,essex,Essex Police
12,gloucestershire,Gloucestershire Constabulary
13,greater-manchester,Greater Manchester Police
14,gwent,Gwent Police
15,hampshire,Hampshire Constabulary
16,dyfed-powys,Dyfed-Powys Police
17,hertfordshire,Hertfordshire Constabulary
18,humberside,Humberside Police
19,kent,Kent Police
20,lancashire,Lancashire Constabulary
21,leicestershire,Leicestershire Police
22,lincolnshire,Lincolnshire Police
23,merseyside,Merseyside Police
24,metropolitan,Metropolitan Police Service
25,norfolk,Norfolk Constabulary
26,north-wales,North Wales Police
27,north-yorkshire,North Yorkshire Police
28,northamptonshire,Northamptonshire Police
29,northumbria,Northumbria Police
30,nottinghamshire,Nottinghamshire Police
31,northern-ireland,Police Service of Northern Ireland
32,south-wales,South Wales Police
33,south-yorkshire,South Yorkshire Police
34,staffordshire,Staffordshire Police
35,suffolk,Suffolk Constabulary
36,surrey,Surrey Police
37,sussex,Sussex Police
38,thames-valley,Thames Valley Police
39,warwickshire,Warwickshire Police
40,west-mercia,West Mercia Police
41,west-midlands,West Midlands Police
42,west-yorkshire,West Yorkshire Police
43,wiltshire,Wiltshire Police
